time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/02/22/22:20:31.383514,15714,1708658431,362265778,/vicon/world,vicon/slot_car/slot_car,-0.25652199781174817,0.20409989969498085,0.03536989994761392,0.027357391699745066,0.022513936909490842,-0.7750146327037979,0.6309492965835045
2024/02/22/22:20:31.391677,15715,1708658431,370546106,/vicon/world,vicon/slot_car/slot_car,-0.25651656256831223,0.20410197699085905,0.0353737740828619,0.02730004293511071,0.022478426672724712,-0.774992717349673,0.6309799648523159
2024/02/22/22:20:31.400380,15716,1708658431,379205786,/vicon/world,vicon/slot_car/slot_car,-0.2565168148202137,0.2041045033689775,0.03536559114543542,0.02733272049225443,0.022518949300405797,-0.7749968675700571,0.630972007754304
2024/02/22/22:20:31.408394,15717,1708658431,387210387,/vicon/world,vicon/slot_car/slot_car,-0.25651820699303596,0.20410121862871647,0.035360475968030707,0.027444763371543755,0.022460264668366182,-0.7749987885418494,0.6309668764944579
2024/02/22/22:20:31.417079,15718,1708658431,395912793,/vicon/world,vicon/slot_car/slot_car,-0.2565187386860314,0.20410180230037814,0.035359808574562494,0.027385537410265105,0.02248003941468122,-0.7750290407873265,0.6309315859147819
2024/02/22/22:20:31.424960,15719,1708658431,403691089,/vicon/world,vicon/slot_car/slot_car,-0.25651899554546775,0.2041056484653796,0.035373796256580034,0.027320805390251775,0.022517334814760533,-0.7750097710250291,0.630956732305314
2024/02/22/22:20:31.433345,15720,1708658431,412047089,/vicon/world,vicon/slot_car/slot_car,-0.2565255589463296,0.20411041287604173,0.03538210736458926,0.027255098261544427,0.022483884723040436,-0.7750033245527916,0.6309686850221925
2024/02/22/22:20:31.441566,15721,1708658431,420335352,/vicon/world,vicon/slot_car/slot_car,-0.2565245348690807,0.20410214792208373,0.03537529209639232,0.02732505993981219,0.022509097792405813,-0.7749859686044651,0.6309860775659448
2024/02/22/22:20:31.449814,15722,1708658431,428616377,/vicon/world,vicon/slot_car/slot_car,-0.25651596649557984,0.20409575051156267,0.03536230889091748,0.0273550367250035,0.022462313053447293,-0.7750288855500037,0.6309337310852716
2024/02/22/22:20:31.458391,15723,1708658431,437208777,/vicon/world,vicon/slot_car/slot_car,-0.2565166594300091,0.20410071705242763,0.03536521009846547,0.02737051657819696,0.022473079133051237,-0.7750101177212358,0.6309557297990394
2024/02/22/22:20:31.467922,15724,1708658431,446820877,/vicon/world,vicon/slot_car/slot_car,-0.2565179000270359,0.204108624648853,0.03536839595008023,0.027376305736834524,0.02243924737592752,-0.774995901080116,0.6309741447717364
2024/02/22/22:20:31.475591,15725,1708658431,454200645,/vicon/world,vicon/slot_car/slot_car,-0.25652266191106765,0.20410595312805088,0.03536319219010318,0.027374928486455258,0.022462063220804813,-0.7750084016754398,0.6309580384928193
2024/02/22/22:20:31.483196,15726,1708658431,462112045,/vicon/world,vicon/slot_car/slot_car,-0.25651559159187715,0.20410072982212793,0.03535837539961136,0.0273614570725567,0.022523941127549685,-0.7750045769175232,0.6309611148873122
2024/02/22/22:20:31.492070,15727,1708658431,470847734,/vicon/world,vicon/slot_car/slot_car,-0.25651833888653314,0.20409965229166635,0.03538059685190538,0.027296252276962273,0.022519914764257177,-0.7750019077276795,0.6309673613342455
2024/02/22/22:20:31.500501,15728,1708658431,479229093,/vicon/world,vicon/slot_car/slot_car,-0.25652277033826554,0.2041076940232124,0.03538479101949225,0.027327297440158903,0.02246235101714565,-0.7749791790733582,0.6309959854105125
2024/02/22/22:20:31.508234,15729,1708658431,487106893,/vicon/world,vicon/slot_car/slot_car,-0.2565228977699425,0.20410414159681606,0.035373833706997156,0.027351161220685268,0.022430629716686315,-0.7750099313928539,0.6309583085060666
2024/02/22/22:20:31.516972,15730,1708658431,495876635,/vicon/world,vicon/slot_car/slot_car,-0.2565186948298988,0.20409871956069905,0.0353558847611559,0.027470441566243512,0.022437115785737823,-0.7750153386974576,0.6309462540177555
2024/02/22/22:20:31.524712,15731,1708658431,503556928,/vicon/world,vicon/slot_car/slot_car,-0.25651656880459095,0.20409928075033631,0.035359879379229596,0.02743768770178201,0.022363315590603852,-0.7750220054904448,0.630942110193117
2024/02/22/22:20:31.533395,15732,1708658431,512126728,/vicon/world,vicon/slot_car/slot_car,-0.2565159381255223,0.2041081359413199,0.03537262158716959,0.027364539829363866,0.022499029282454293,-0.774999468864994,0.6309681441247661
2024/02/22/22:20:31.541565,15733,1708658431,520401292,/vicon/world,vicon/slot_car/slot_car,-0.25651921598105576,0.20410749322607263,0.035380473077883876,0.027331142820492586,0.02247166662239264,-0.7749858473201369,0.6309872972452196
2024/02/22/22:20:31.550377,15734,1708658431,529166750,/vicon/world,vicon/slot_car/slot_car,-0.2565190115292921,0.2040988907797463,0.03537685106907418,0.027352619959646357,0.022496773554854726,-0.7750103168199824,0.6309554169539676
2024/02/22/22:20:31.558358,15735,1708658431,537131150,/vicon/world,vicon/slot_car/slot_car,-0.25651850747593036,0.20409884625594563,0.03537292216243868,0.027398024904571164,0.022434829946454522,-0.7749941297270173,0.6309755348072261
2024/02/22/22:20:31.566655,15736,1708658431,545534857,/vicon/world,vicon/slot_car/slot_car,-0.2565219018092851,0.20410696743539244,0.03536732612860333,0.02745304758496779,0.02241477857052824,-0.7750269661402212,0.6309335223582719
